Trace,Latitude,Longitude,Altitude
530,52.2254923,6.6932639,-0.03
531,52.2254923,6.6932639,-0.03
532,52.2254923,6.6932639,-0.03
533,52.2254923,6.6932639,-0.03
534,52.2254923,6.6932639,-0.03
535,52.2254923,6.6932639,-0.03
536,52.2254923,6.6932639,-0.03
537,52.2254923,6.6932639,-0.03
538,52.2254923,6.6932639,-0.03
539,52.2254923,6.6932639,-0.03
540,52.2254923,6.6932639,-0.03
541,52.2254922,6.693264,-0.03
542,52.2254922,6.693264,-0.03
543,52.2254922,6.693264,-0.03
544,52.2254922,6.693264,-0.03
545,52.2254922,6.693264,-0.03
546,52.2254922,6.693264,-0.03
547,52.2254921,6.6932639,-0.03
548,52.2254921,6.6932639,-0.03
549,52.2254921,6.6932639,-0.03
550,52.2254921,6.6932639,-0.03
551,52.2254921,6.6932639,-0.03
552,52.2254921,6.6932639,-0.03
553,52.2254921,6.6932639,-0.03
554,52.2254921,6.6932639,-0.03
555,52.2254921,6.693264,-0.03
556,52.2254921,6.693264,-0.03
557,52.2254921,6.693264,-0.03
558,52.2254921,6.693264,-0.03
559,52.2254921,6.693264,-0.03
560,52.2254921,6.693264,-0.03
561,52.2254921,6.693264,-0.03
562,52.2254921,6.693264,-0.03
563,52.2254921,6.693264,-0.03
564,52.2254921,6.693264,-0.03
565,52.2254921,6.693264,-0.03
566,52.2254921,6.693264,-0.03
567,52.2254921,6.693264,-0.03
568,52.2254921,6.6932641,-0.03
569,52.2254921,6.6932641,-0.03
570,52.2254921,6.6932641,-0.03
571,52.2254921,6.6932641,-0.03
572,52.2254921,6.6932641,-0.03
573,52.2254921,6.6932641,-0.03
574,52.2254921,6.6932641,-0.03
575,52.2254921,6.6932641,-0.03
576,52.2254921,6.6932641,-0.03
577,52.2254921,6.6932641,-0.03
578,52.2254921,6.6932641,-0.03
579,52.2254921,6.6932641,-0.03
580,52.2254921,6.6932643,-0.03
581,52.2254921,6.6932643,-0.03
582,52.2254921,6.6932643,-0.03
583,52.2254921,6.6932643,-0.03
584,52.2254921,6.6932643,-0.03
585,52.2254921,6.6932643,-0.03
586,52.2254921,6.6932643,-0.03
587,52.2254921,6.6932643,-0.03
588,52.225492,6.6932642,-0.03
589,52.225492,6.6932642,-0.03
590,52.225492,6.6932642,-0.03
591,52.225492,6.6932642,-0.03
592,52.225492,6.6932642,-0.03
593,52.225492,6.6932642,-0.03
594,52.225492,6.6932643,-0.03
595,52.225492,6.6932643,-0.03
596,52.225492,6.6932643,-0.03
597,52.225492,6.6932643,-0.03
598,52.225492,6.6932643,-0.03
599,52.225492,6.6932643,-0.03
600,52.225492,6.6932643,-0.03
601,52.225492,6.6932643,-0.03
602,52.225492,6.6932643,-0.03
603,52.225492,6.6932643,-0.03
604,52.225492,6.6932643,-0.03
605,52.225492,6.6932643,-0.03
606,52.225492,6.6932643,-0.03
607,52.225492,6.6932643,-0.03
608,52.225492,6.6932643,-0.03
609,52.225492,6.6932643,-0.03
610,52.225492,6.6932643,-0.03
611,52.225492,6.6932643,-0.03
612,52.2254919,6.6932643,-0.03
613,52.2254919,6.6932643,-0.03
614,52.2254919,6.6932643,-0.03
615,52.2254919,6.6932643,-0.03
616,52.2254919,6.6932643,-0.03
617,52.2254919,6.6932643,-0.03
618,52.2254919,6.6932643,-0.03
619,52.2254919,6.6932643,-0.03
620,52.2254919,6.6932643,-0.03
621,52.2254919,6.6932643,-0.03
622,52.225492,6.6932644,-0.03
623,52.225492,6.6932644,-0.03
624,52.225492,6.6932644,-0.03
625,52.225492,6.6932644,-0.03
626,52.225492,6.6932644,-0.03
627,52.225492,6.6932644,-0.03
628,52.225492,6.6932644,-0.03
629,52.225492,6.6932644,-0.03
630,52.225492,6.6932644,-0.03
631,52.2254919,6.6932645,-0.03
632,52.2254919,6.6932645,-0.03
633,52.2254919,6.6932645,-0.03
634,52.2254919,6.6932645,-0.03
635,52.2254919,6.6932645,-0.03
636,52.2254919,6.6932645,-0.03
637,52.225492,6.6932645,-0.03
638,52.225492,6.6932645,-0.03
639,52.225492,6.6932645,-0.03
640,52.225492,6.6932645,-0.03
641,52.225492,6.6932645,-0.03
642,52.225492,6.6932645,-0.03
643,52.225492,6.6932645,-0.03
644,52.225492,6.6932645,-0.03
645,52.225492,6.6932645,-0.03
646,52.225492,6.6932645,-0.03
647,52.2254919,6.6932645,-0.03
648,52.2254919,6.6932645,-0.03
649,52.2254919,6.6932645,-0.03
650,52.2254919,6.6932645,-0.03
651,52.2254919,6.6932645,-0.03
652,52.2254919,6.6932645,-0.03
653,52.2254919,6.6932645,-0.03
654,52.2254919,6.6932645,-0.03
655,52.2254919,6.6932645,-0.03
656,52.225492,6.6932644,-0.03
657,52.225492,6.6932644,-0.03
658,52.225492,6.6932644,-0.03
659,52.225492,6.6932644,-0.03
660,52.225492,6.6932644,-0.03
661,52.225492,6.6932644,-0.03
662,52.225492,6.6932644,-0.03
663,52.225492,6.6932644,-0.03
664,52.225492,6.6932644,-0.03
665,52.225492,6.6932644,-0.03
666,52.225492,6.6932644,-0.03
667,52.225492,6.6932644,-0.03
668,52.2254919,6.6932644,-0.03
669,52.2254919,6.6932644,-0.03
670,52.2254919,6.6932644,-0.03
671,52.2254919,6.6932644,-0.03
672,52.2254919,6.6932644,-0.03
673,52.2254919,6.6932644,-0.03
674,52.2254919,6.6932644,-0.03
675,52.2254919,6.6932644,-0.03
676,52.2254919,6.6932644,-0.03
677,52.2254919,6.6932644,-0.03
678,52.2254919,6.6932644,-0.03
679,52.2254919,6.6932644,-0.03
680,52.2254919,6.6932644,-0.03
681,52.2254919,6.6932644,-0.03
682,52.2254919,6.6932644,-0.03
683,52.2254919,6.6932644,-0.03
684,52.2254919,6.6932644,-0.03
685,52.2254919,6.6932644,-0.03
686,52.2254919,6.6932644,-0.03
687,52.2254919,6.6932644,-0.03
688,52.2254919,6.6932644,-0.03
689,52.2254919,6.6932644,-0.03
690,52.2254919,6.6932644,-0.03
691,52.2254919,6.6932644,-0.03
692,52.2254919,6.6932645,-0.03
693,52.2254919,6.6932645,-0.03
694,52.2254919,6.6932645,-0.03
695,52.2254919,6.6932645,-0.03
696,52.2254919,6.6932645,-0.03
697,52.2254919,6.6932645,-0.03
698,52.2254919,6.6932645,-0.03
699,52.2254919,6.6932645,-0.03
700,52.2254919,6.6932645,-0.03
701,52.2254919,6.6932645,-0.03
702,52.2254919,6.6932645,-0.03
703,52.2254918,6.6932644,-0.03
704,52.2254918,6.6932644,-0.03
705,52.2254918,6.6932644,-0.03
706,52.2254918,6.6932644,-0.03
707,52.2254918,6.6932644,-0.03
708,52.2254918,6.6932644,-0.03
709,52.2254918,6.6932644,-0.03
710,52.2254919,6.6932644,-0.03
711,52.2254919,6.6932644,-0.03
712,52.2254919,6.6932644,-0.03
713,52.2254919,6.6932644,-0.03
714,52.2254919,6.6932644,-0.03
715,52.2254919,6.6932644,-0.03
716,52.2254919,6.6932644,-0.03
717,52.2254919,6.6932645,-0.03
718,52.2254919,6.6932645,-0.03
719,52.2254919,6.6932645,-0.03
720,52.2254919,6.6932645,-0.03
721,52.2254919,6.6932645,-0.03
722,52.2254919,6.6932645,-0.03
723,52.2254919,6.6932645,-0.03
724,52.2254919,6.6932645,-0.03
725,52.2254919,6.6932645,-0.03
726,52.2254919,6.6932645,-0.03
727,52.2254919,6.6932645,-0.03
728,52.2254919,6.6932645,-0.03
729,52.2254919,6.6932645,-0.03
730,52.2254919,6.6932645,-0.03
731,52.2254919,6.6932645,-0.03
732,52.2254919,6.6932645,-0.03
733,52.2254919,6.6932645,-0.03
734,52.2254919,6.6932645,-0.03
735,52.2254919,6.6932645,-0.03
736,52.2254919,6.6932645,-0.03
737,52.2254919,6.6932645,-0.03
738,52.2254919,6.6932645,-0.03
